"V1","V2","V3","V4"
"abandonment",0.39829065574489,0.629329957889945,0.233974561288622
"abhorrence",-0.303112877635684,-0.0205344594632238,0.207019362815702
"acceptance",0.812402329568461,-0.651617697238145,-0.384470937783869
"adoration",0.496215744413352,-0.911567973602115,-0.351556376579364
"affection",0.493755618492536,-0.792034909211799,-0.242197443987515
"aggravation",-0.35459133436064,0.0383767291826388,0.258672075873344
"agitation",-0.428264807245666,0.119777389205978,0.430305833453318
"agony",-0.239926315699415,0.395614310402619,0.193019086288295
"alarm",-0.742166363028443,-0.466154622280964,0.00944407676611658
"alertness",-0.604516074451565,-0.707755874707214,-0.309827017293074
"alienation",-0.211857017227107,0.342448749630264,0.200220097986549
"amazement",-0.0425732384675052,-1.07546180999122,-0.301133628347448
"amusement",-0.180224996340158,-1.09962865471238,-0.338008902752151
"anger",-0.460331926342258,0.0302304817460441,0.460246433826133
"anguish",-0.155935949000197,0.127269010564149,0.289535599542967
"annoyance",-0.538833100573096,-0.0145567995153154,0.10279464046292
"anxiety",-0.456999914327333,0.221839912955689,-0.0115952521254399
"apprehension",-0.2463581144651,-0.0211913067456709,-0.191025726328414
"approval",0.765293285200984,-0.826458533549859,-0.164547876545949
"arousal",-0.33553266291613,-0.946540201876806,-0.182556616665496
"astonishment",-0.192223343841099,-0.777923682651285,-0.301329990410354
"attraction",0.382410334125103,-1.13665349123378,-0.0942523068429969
"aversion",0.51515023993301,0.0173780663497101,0.367452535926734
"awe",0.377662472282367,-0.920427483533309,0.0730705367833279
"belligerence",0.457232638974825,0.146894790782011,0.107022375393078
"bitterness",0.13910990276298,0.283949606875613,0.457416426288136
"bliss",0.0952189388670549,-0.958455590716258,-0.669925786475848
"boredom",0.2925792970638,0.566991233683834,-0.476338859928449
"calmness",0.748826539342423,-0.186650928775496,-0.734583187325928
"carefreeness",0.254751853399792,-0.719136590442278,-0.561991899632641
"carefulness",0.705198985380874,-0.270684011203076,-0.456975149843276
"caring",0.922654781400646,-0.7233686958217,0.00456424096130092
"cheerfulness",0.243471433157181,-1.01471291095784,-0.567619437607025
"compassion",0.695292434868942,-0.577790269659582,-0.364235728664889
"complacency",0.533403659502376,0.0746840868104534,-0.413298753941472
"contempt",-0.282191963362535,0.0367823666390076,-0.566114465059571
"contentment",0.424421926431178,-0.600517348288213,-0.556103547401835
"craving",-0.424802621516982,-0.566880574502165,-0.45340430373762
"defeat",-0.14894294367389,0.307271015378146,-0.0182324245837408
"dejection",0.16750947124355,0.317743272034168,0.397864878592222
"deliberateness",-0.0804247663877983,-0.5515930749579,-0.459866090583475
"delight",0.413580586947264,-0.922620707066379,-0.537022790049898
"demoralization",0.0417976996663983,0.376049779209948,0.226918642758956
"depression",0.0187287291701288,0.55256610358455,-0.225194084210735
"desire",-0.12381512994653,-0.821786508872984,-0.413038133624968
"despair",0.0660710320021378,0.355883023891996,0.149493141971592
"despondency",0.331434692734041,0.227580834399768,0.033810207675574
"determination",0.318927953779772,-0.828510071090861,0.154103426555106
"disappointment",-0.0376749182081354,0.428465254498966,-0.0286828976293929
"discomfort",-0.19271193374525,0.346263594010424,0.0614510335299138
"disconsolateness",-0.00527140182483085,0.335872308217838,-0.0889482552189457
"discontentment",0.0749511952690273,0.304802455169612,0.0148631074379662
"discouragement",-0.151831512464772,0.376130992895771,0.0751207939965159
"disgruntlement",-0.198623722128466,0.354088540991736,0.154139392954502
"disgust",-0.0218675916817779,0.215996913428468,0.597903285687515
"dislike",-0.245491807488142,0.286532072420122,0.486344504396336
"dismay",-0.115248391370463,0.165256812507099,0.270860676700714
"displeasure",-0.0746173534194669,0.235440113197223,0.276140103702439
"distraction",-0.561162988505378,0.0247890251107162,-0.193656635241663
"distress",-0.272136577488432,0.200977981150277,0.0631347962542688
"dolefulness",0.241391814615858,0.243479030569327,-0.477658494906559
"doubt",0.379059738134914,0.478622224677003,-0.00043188042676017
"dread",-0.273765091989436,0.23616534136097,0.358205238718809
"eagerness",-0.0916147220895692,-0.831894560491098,-0.368387712720485
"ecstasy",-0.325171606748503,-0.976657153952175,-0.435155515058858
"edginess",-0.616407765984397,-0.335039300155514,0.135265940064333
"effervescence",-0.32185216106733,-0.623251559929381,-0.47163585272112
"elation",0.208590790836294,-0.865028859592296,-0.286188006404593
"embarrassment",-0.0168412751803736,0.399463320493414,0.324429440022566
"enchantment",0.283275484932356,-0.998032776309463,-0.287421920405665
"encouragement",0.28914461911617,-0.78535010182172,-0.576573551876657
"enjoyment",0.140760588796686,-1.12810492852754,-0.444105945262717
"enthrallment",0.00406429861105037,-0.891693743422729,-0.140064448867482
"enthusiasm",0.246708495556039,-1.02178520757223,-0.133539199720952
"envy",-0.211381227009103,-0.590241869689113,0.801127748220814
"euphoria",0.0458208214648733,-1.06718075236047,-0.278968016838014
"exasperation",-0.40275756917082,-0.217224806751838,0.219888913701098
"excitement",-0.0806666892343598,-0.922091712188664,-0.266939656419517
"exhaustion",-0.369116110703215,0.256335593588744,-0.324839412902465
"exhilaration",-0.270245091565714,-0.902805092005575,-0.112386923206932
"exuberance",-0.122066859808777,-0.858542005524153,-0.228900241604488
"exultation",0.00156446109308472,-0.721586975400377,-0.0654985299900549
"fear",-0.287866481516519,0.193058027785514,0.624774965373181
"ferocity",-0.229059756865557,-0.436312614748143,0.596777094700661
"fervor",-0.434504401950335,-0.344600586663137,0.117610199621325
"fierceness",-0.328047387160773,-0.696890548874609,0.53298059564035
"fondness",0.43391707109548,-0.952425778841822,-0.189932986187893
"forgiveness",0.879755753540524,-0.0733965147172917,-0.49414666314671
"forlornness",0.161165534939889,0.35412994454718,-0.1408001491371
"freedom",0.316408891473869,-0.741088722221907,-0.781179910811117
"frenzy",-0.623094516151326,-0.4973413787469,0.292132996713166
"fright",-0.423797149208718,-0.00321818574642996,0.274473773395909
"frustration",-0.121400750124811,0.158398579769027,0.59559685423725
"fury",-0.12163298598681,-0.294860636941969,0.7633250093047
"gaeity",0.366323960793041,-0.595940442977412,-0.56188433718965
"gladness",0.256696277907475,-0.934270673999685,-0.446184568796967
"glee",0.191794577394052,-1.07085003244787,-0.49644889370159
"gloom",0.0699321000748084,0.633330879852527,-0.0145299407910611
"glumness",0.0493541161815179,0.512535813253385,-0.261299442036716
"gratitude",0.402098589754694,-0.757679984468845,-0.707469987288341
"grief",0.218913492941174,0.405418255579572,0.156236263974637
"grouchiness",-0.198147667324916,0.274763721464279,0.409798706195439
"grumpiness",-0.36339621185593,0.362959060138022,0.138511782886604
"guilt",0.115141599204319,0.419911705128337,0.25231208694152
"happiness",0.423263858496926,-0.975173831227362,-0.491207714699839
"hate",-0.368981359066627,-0.135865531890988,0.774701085894175
"homesickness",-0.159926990687778,0.490574374713793,-0.422254887313549
"hope",0.515692557356051,-0.862065719166874,-0.489070060269613
"hopelessness",0.0283705102379656,0.521461987493021,-0.12715471830738
"horror",0.10538630983537,-0.143436836367249,0.940473304663222
"hostility",-0.170979044068587,0.0313126339063559,0.557184989218505
"humiliation",0.238798406584991,0.179423854241086,0.691683633008065
"hurt",0.0999680117085705,0.257354146501223,0.575517232499756
"hysteria",-0.455529406328975,-0.0829274293641442,0.0276265276833161
"impatience",-0.636400025347898,-0.182553433755805,0.00188886371205569
"inclination",0.00501621375125508,-0.729262429835633,-0.399775691574746
"inconsolableness",-0.0733810796331396,0.294122652194912,-0.141117370868692
"indecision",-0.0940663678150492,0.343944286018687,-0.319042159880595
"indignation",-0.0450305554504079,0.0394706445515864,0.112155838353642
"infatuation",-0.275813837538938,-0.781783980633408,-0.355842822810373
"insecurity",-0.247354398542764,0.15643854704305,0.0369864911136497
"insult",0.384517537892614,0.252103434585311,0.843265308290082
"intelligence",0.175920641282283,-0.625509647707479,-0.91890841882356
"interest",-0.0891365358705666,-1.03592376234845,-0.23783146940876
"ire",0.0686803518011345,-0.477716673380009,0.592644030607407
"irritation",-0.255821895132458,0.300353361532691,0.361774068858831
"isolation",0.221805235234242,0.530666848458432,-0.0374612317748668
"jealousy",-0.205075364835812,-0.392981547582705,0.696294519235311
"jitteriness",-0.70836198728584,-0.495431646015414,-0.114067577148712
"jolliness",0.228369968310524,-1.02721552158554,-0.534191791140899
"joviality",0.405576793704188,-0.876175047502355,-0.27878764716275
"joy",0.128259448689634,-1.10710863929036,-0.494346008989851
"jubilation",0.121791467471215,-0.931028065003448,-0.204693772352002
"liking",0.331543820022205,-1.16152763107796,-0.402065060498625
"lividness",-0.345218089460474,-0.382184963185692,0.469255520220781
"loathing",-0.170003625005456,0.0309308529567122,0.521405351282982
"loneliness",0.34945154345413,0.457572133649583,-0.0962535876146346
"longing",0.0948721143211801,-0.280485785843189,-0.622900627393631
"love",0.346512335799781,-1.17337712656483,-0.224954504701748
"lust",-0.0671598449974339,-0.997743569714119,0.148011338761797
"malevolence",0.287484446682455,-0.272577780384941,0.712488080063415
"melancholy",0.363801479412883,0.235585903147899,-0.473194914075962
"mellowness",0.614342926507277,0.0719014791334852,-0.616799387345859
"mirth",0.468847629295966,-0.31724033488344,0.632719666161399
"misery",-0.179305830550323,0.275343741459493,0.0984101306792948
"modesty",0.989282196182242,-0.417146388883603,-0.133344835841676
"moroseness",0.366960195238132,0.394002797439873,0.187556684547503
"mortification",-0.170764424648336,-0.126105934303363,0.778843464817022
"neglect",0.272175730339609,0.444246994177104,0.354817182263387
"nervousness",-0.550336982888604,-0.0646651404395266,-0.109324263857109
"nostalgia",0.520462649895448,-0.228703733956964,-0.625871452086103
"obsession",-0.0450635394859429,-0.829803550841169,0.156694816807203
"optimism",0.521378265385031,-0.808071997211527,-0.547742634895006
"outrage",-0.619502397034953,-0.131374178294312,0.509387017204985
"panic",-0.79632609360551,-0.0408444695345809,0.0745630719133043
"passion",0.415534769884285,-0.983345853479542,0.204391304457752
"persecution",0.439729106630353,0.133530163796991,0.573424594618172
"pity",0.528359786196253,0.473194185471256,0.0502573709265721
"pleasure",0.343675565110541,-1.07941036602391,-0.307148189362502
"power",0.487749230646302,-0.940802492837759,0.285940984340045
"practicality",0.696943646977592,-0.459805008733829,-0.416519996898701
"pride",0.278957354069509,-1.07820098787455,0.0173160065865917
"rage",-0.139873274659589,-0.203444215546618,0.877478732322305
"rapture",-0.646947315318588,-0.516136322722508,0.0287726084489948
"regret",0.289749295155499,0.607643482024561,0.114651034313852
"rejection",0.362938508005655,0.212890736420511,0.276347704475915
"relief",0.296896047865946,-0.469311333548153,-0.816114693334466
"remorse",0.18313106877299,0.371686543146714,-0.0503876489125649
"resentment",0.0147796213233627,0.170593734871684,0.31513997366157
"respect",0.740232371038005,-0.753474102255455,-0.331717473659641
"revulsion",0.0648662339136824,-0.222180650369541,0.793943295432403
"sadness",0.297343765070169,0.513556254102844,0.0995744709743663
"satisfaction",0.619633755859999,-0.763309938103711,-0.378736382076426
"scorn",-0.0902961539793873,0.117761313445801,0.539211522979305
"self-control",0.891656391250843,-0.457511853267385,0.0584419070078324
"sentimentality",0.697807383228377,-0.495807080731083,-0.310701072179282
"shame",0.182106037064548,0.384012826102435,0.477706116098933
"sheepishness",0.229434153031638,0.321353541014016,-0.375727814651898
"shock",-0.646551707524326,-0.50780175494666,0.355927480213864
"somberness",0.658113228876817,0.24619537265049,-0.196579686460638
"sorrow",-0.00198570732011535,0.534394295762002,0.0864377984947374
"spite",-0.0596006559298368,-0.112733892973599,0.757536244109988
"startle",-0.747468824319567,-0.348196046699153,0.0517956067367764
"success",0.172658970842472,-1.17070406359912,-0.474346423568943
"suffering",0.095029125264898,0.392006499084094,0.255559135757823
"sulkiness",0.176256424174174,0.478527322471082,-0.0311754528444215
"sullenness",0.36868688161795,0.384412878498953,-0.198475553022745
"superiority",0.470221893521215,-0.820846467765654,0.608966684102488
"surprise",0.123023790364057,-1.07708244776091,0.365822018525563
"sympathy",0.928186201601177,-0.160608722398924,-0.248958276413681
"tenderness",0.570135805896572,-0.447865250198661,-0.569422782109346
"tenseness",-0.460199783679732,-0.0646763804378022,-0.0707350709943757
"terror",0.242903599799716,-0.0500252893116375,0.855644964241542
"thrill",-0.218192178495753,-0.918449501757142,-0.198614862553327
"titillation",0.463811677620604,-0.659736205578145,0.45090725957441
"torment",0.103902639459651,0.0508966044685082,0.638655759298065
"triumph",0.440308694251079,-0.988959016561786,0.160166551978525
"uneasiness",-0.249600737534471,0.152508679660101,-0.00182331895312152
"unhappiness",-0.119611083766623,0.552237907548495,0.0649798976135993
"vanity",0.513155413089246,-0.679704787823247,0.510160300578038
"vehemence",0.00923020579961431,-0.338723501436727,0.61648670933023
"vengefulness",0.155278012150086,-0.133026214578179,0.764091924326192
"vexation",-0.458856632552814,-0.244420345836793,0.155986695798031
"vibrance",0.317655179112563,-0.963600481176565,0.00789639206378561
"viciousness",-0.179463970297623,-0.292932867457584,0.684723717827442
"vindictiveness",0.0721389893640068,-0.35122658238529,0.639935350715947
"virtue",0.776905352203874,-0.759082071382378,-0.184724488570762
"woe",0.320996371108531,0.236949892761413,0.226813815035367
"wonderment",0.344964163305309,-0.830389766169733,-0.203251298552201
"worry",-0.203346933891558,0.213259913227825,0.216271319661144
"wrath",-0.0184422727756994,-0.262050616464014,0.757265257455622
"zeal",-0.0168204273925751,-1.02216701267675,0.0984645502303013
"zest",-0.0384502545235378,-1.02290969528155,0.343070019913402
